gender,equipmentLevel,drugTested,divisionCode,weightClass,competitionType,lift,location,recordWeight,name
MALE,RAW,TESTED,J,93,FULL-POWER,DEADLIFT,STATE:SC,250,Juan Carlos Sandoval
MALE,RAW,TESTED,J,93,FULL-POWER,TOTAL,STATE:SC,597.5,Ricardo Contreras Santos
MALE,RAW,TESTED,J,105,FULL-POWER,SQUAT,STATE:SC,230,Eduardo Garcia
MALE,RAW,TESTED,J,105,FULL-POWER,BENCH-PRESS,STATE:SC,142.5,Francisco Hernandez
MALE,RAW,TESTED,J,105,FULL-POWER,DEADLIFT,STATE:SC,245,Eduardo Garcia
MALE,RAW,TESTED,J,105,FULL-POWER,TOTAL,STATE:SC,592.5,Eduardo Garcia
MALE,RAW,TESTED,J,120,FULL-POWER,SQUAT,STATE:SC,245,Angel Anduaga
MALE,RAW,TESTED,J,120,FULL-POWER,BENCH-PRESS,STATE:SC,167.5,Angel Manuel Cordova
MALE,RAW,TESTED,J,120,FULL-POWER,DEADLIFT,STATE:SC,277.5,Angel Anduaga
MALE,RAW,TESTED,J,120,FULL-POWER,TOTAL,STATE:SC,650,Angel Anduaga
MALE,RAW,TESTED,J,120+,FULL-POWER,SQUAT,STATE:SC,242.5,Alberto Valenzuela
MALE,RAW,TESTED,J,120+,FULL-POWER,BENCH-PRESS,STATE:SC,142.5,Alberto Valenzuela
MALE,RAW,TESTED,J,120+,FULL-POWER,DEADLIFT,STATE:SC,242.5,Alberto Valenzuela
MALE,RAW,TESTED,J,120+,FULL-POWER,TOTAL,STATE:SC,627.5,Alberto Valenzuela
,,,,,,,,,
MALE,RAW,TESTED,O,53,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,O,53,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,O,53,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,O,53,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,O,59,FULL-POWER,SQUAT,STATE:SC,150,Jesus Ceja Ventura
MALE,RAW,TESTED,O,59,FULL-POWER,BENCH-PRESS,STATE:SC,90,Jesus Ceja Ventura
MALE,RAW,TESTED,O,59,FULL-POWER,DEADLIFT,STATE:SC,180,Jesus Ceja Ventura
MALE,RAW,TESTED,O,59,FULL-POWER,TOTAL,STATE:SC,420,Jesus Ceja Ventura
MALE,RAW,TESTED,O,66,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,O,66,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,O,66,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,O,66,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,O,74,FULL-POWER,SQUAT,STATE:SC,290,Israel Cruz
MALE,RAW,TESTED,O,74,FULL-POWER,BENCH-PRESS,STATE:SC,160,Israel Cruz
MALE,RAW,TESTED,O,74,FULL-POWER,DEADLIFT,STATE:SC,260,Alejandro Cubillas
MALE,RAW,TESTED,O,74,FULL-POWER,TOTAL,STATE:SC,707.5,Israel Cruz
MALE,RAW,TESTED,O,83,FULL-POWER,SQUAT,STATE:SC,190,Oscar Flores Aleman
MALE,RAW,TESTED,O,83,FULL-POWER,BENCH-PRESS,STATE:SC,115,Lemuel Roberto Olán
MALE,RAW,TESTED,O,83,FULL-POWER,DEADLIFT,STATE:SC,240,Lemuel Roberto Olán
MALE,RAW,TESTED,O,83,FULL-POWER,TOTAL,STATE:SC,535,Lemuel Roberto Olán
MALE,RAW,TESTED,O,93,FULL-POWER,SQUAT,STATE:SC,270,Sonni Garcia
MALE,RAW,TESTED,O,93,FULL-POWER,BENCH-PRESS,STATE:SC,172.5,Daniel Paniagua
MALE,RAW,TESTED,O,93,FULL-POWER,DEADLIFT,STATE:SC,280,Daniel Paniagua
MALE,RAW,TESTED,O,93,FULL-POWER,TOTAL,STATE:SC,710,Daniel Paniagua
MALE,RAW,TESTED,O,105,FULL-POWER,SQUAT,STATE:SC,292.5,Ivan Serrano
MALE,RAW,TESTED,O,105,FULL-POWER,BENCH-PRESS,STATE:SC,180,Ivan Serrano
MALE,RAW,TESTED,O,105,FULL-POWER,DEADLIFT,STATE:SC,272.5,Pedro Andre Hernández
MALE,RAW,TESTED,O,105,FULL-POWER,TOTAL,STATE:SC,732.5,Ivan Serrano
MALE,RAW,TESTED,O,120,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,O,120,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,O,120,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,O,120,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,O,120+,FULL-POWER,SQUAT,STATE:SC,255,Maurilio Damian Bojórquez
MALE,RAW,TESTED,O,120+,FULL-POWER,BENCH-PRESS,STATE:SC,160,Noe Euan
MALE,RAW,TESTED,O,120+,FULL-POWER,DEADLIFT,STATE:SC,257.5,Victor Gustavo Hernandez
MALE,RAW,TESTED,O,120+,FULL-POWER,TOTAL,STATE:SC,627.5,Maurilio Damian Bojórquez
,,,,,,,,,
MALE,RAW,TESTED,M1,53,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,53,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,M1,53,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,53,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,M1,59,FULL-POWER,SQUAT,STATE:SC,57.5,Ramon Salazar Gomez
MALE,RAW,TESTED,M1,59,FULL-POWER,BENCH-PRESS,STATE:SC,37.5,Ramon Salazar Gomez
MALE,RAW,TESTED,M1,59,FULL-POWER,DEADLIFT,STATE:SC,70,Ramon Salazar Gomez
MALE,RAW,TESTED,M1,59,FULL-POWER,TOTAL,STATE:SC,165,Ramon Salazar Gomez
MALE,RAW,TESTED,M1,66,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,66,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,M1,66,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,66,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,M1,74,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,74,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,M1,74,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,74,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,M1,83,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,83,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,M1,83,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,83,FULL-POWER,TOTAL,STATE:SC,n/a,
MALE,RAW,TESTED,M1,93,FULL-POWER,SQUAT,STATE:SC,177.5,Luison
MALE,RAW,TESTED,M1,93,FULL-POWER,BENCH-PRESS,STATE:SC,105,Luison
MALE,RAW,TESTED,M1,93,FULL-POWER,DEADLIFT,STATE:SC,205,Luison
MALE,RAW,TESTED,M1,93,FULL-POWER,TOTAL,STATE:SC,487.5,Luison
MALE,RAW,TESTED,M1,105,FULL-POWER,SQUAT,STATE:SC,270,Alberto Campos
MALE,RAW,TESTED,M1,105,FULL-POWER,BENCH-PRESS,STATE:SC,182.5,Alberto Campos
MALE,RAW,TESTED,M1,105,FULL-POWER,DEADLIFT,STATE:SC,250,Alberto Campos
MALE,RAW,TESTED,M1,105,FULL-POWER,TOTAL,STATE:SC,702.5,Alberto Campos
MALE,RAW,TESTED,M1,120,FULL-POWER,SQUAT,STATE:SC,220,Gabriel Orantes
MALE,RAW,TESTED,M1,120,FULL-POWER,BENCH-PRESS,STATE:SC,210,Gabriel Orantes
MALE,RAW,TESTED,M1,120,FULL-POWER,DEADLIFT,STATE:SC,235,Gabriel Orantes
MALE,RAW,TESTED,M1,120,FULL-POWER,TOTAL,STATE:SC,665,Gabriel Orantes
MALE,RAW,TESTED,M1,120+,FULL-POWER,SQUAT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,120+,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
MALE,RAW,TESTED,M1,120+,FULL-POWER,DEADLIFT,STATE:SC,n/a,
MALE,RAW,TESTED,M1,120+,FULL-POWER,TOTAL,STATE:SC,n/a,
